Date,Opening Price,Highest Price,Lowest Price,Closing Price,Trade Volume
2007-12-31,61.450001,61.700001,61.049999,61.450001,2870000.0
2008-01-02,60.099998,61.299999,60.0,60.099998,4975000.0
2008-01-03,59.099998,59.349998,58.599998,59.099998,7413000.0
2008-01-04,59.099998,59.349998,58.049999,59.099998,7686000.0
2008-01-07,56.400002,57.599998,56.299999,56.400002,20041000.0
2008-01-08,56.950001,57.299999,56.450001,56.950001,8722000.0
2008-01-09,58.0,58.0,55.900002,58.0,7480000.0
2008-01-10,57.900002,58.599998,57.900002,57.900002,10311000.0
2008-01-11,57.650002,58.5,57.450001,57.650002,10135000.0
2008-01-14,58.799999,59.150002,58.099998,58.799999,12103000.0
2008-01-15,61.049999,61.549999,59.400002,61.049999,22177000.0
2008-01-16,58.400002,59.75,58.400002,58.400002,19193000.0
2008-01-17,58.150002,59.0,57.349998,58.150002,8915000.0
2008-01-18,58.5,58.5,56.349998,58.5,13973000.0
2008-01-21,57.700001,58.25,57.549999,57.700001,5570000.0
2008-01-22,53.700001,55.049999,53.700001,53.700001,29372000.0
2008-01-23,53.599998,54.849998,53.400002,53.599998,14849000.0
2008-01-24,55.0,55.299999,53.799999,55.0,14820000.0
2008-01-25,56.400002,56.400002,55.599998,56.400002,9858000.0
2008-01-28,54.599998,55.900002,54.5,54.599998,6879000.0
2008-01-29,55.099998,55.299999,54.400002,55.099998,4122000.0
2008-01-30,54.950001,55.799999,54.75,54.950001,5995000.0
2008-01-31,54.950001,55.25,54.200001,54.950001,5214000.0
2008-02-01,56.400002,56.599998,55.200001,56.400002,8780000.0
2008-02-12,54.950001,55.799999,54.849998,54.950001,5988000.0
2008-02-13,54.799999,55.599998,54.700001,54.799999,6310000.0
2008-02-14,57.799999,57.799999,56.150002,57.799999,12588000.0
2008-02-15,57.299999,57.5,56.650002,57.299999,8800000.0
2008-02-18,57.200001,57.900002,57.0,57.200001,4977000.0
2008-02-19,58.0,58.0,57.25,58.0,5129000.0
2008-02-20,56.900002,58.0,56.799999,56.900002,5471000.0
2008-02-21,58.549999,58.549999,57.549999,58.549999,6293000.0
2008-02-22,58.799999,58.799999,57.75,58.799999,6729000.0
2008-02-25,60.0,60.099998,59.200001,60.0,9509000.0
2008-02-26,60.200001,60.549999,59.799999,60.200001,21028000.0
2008-02-27,60.700001,60.900002,60.5,60.700001,18902000.0
2008-02-29,60.849998,61.099998,60.299999,60.849998,6040000.0
2008-03-03,59.150002,59.299999,58.349998,59.150002,13929000.0
2008-03-04,60.700001,60.700001,59.0,60.700001,8528000.0
2008-03-05,60.900002,61.25,60.450001,60.900002,9561000.0
2008-03-06,62.299999,62.299999,61.0,62.299999,11383000.0
2008-03-07,61.400002,62.200001,61.349998,61.400002,9123000.0
2008-03-10,59.599998,61.5,59.549999,59.599998,15551000.0
2008-03-11,60.099998,60.150002,58.900002,60.099998,11904000.0
